" symbol may be delisted""}}}",Adj Close,Close,Date,High,Low,Open,Volume,"description:""No data found","error:{""code"":""Not Found""","{""chart"":{""result"":null"
,8100.0,8100.0,1995-02-27,8100.0,8100.0,8100.0,0.0,,,
,,,1995-02-28,,,,,,,
,,,1995-03-01,,,,,,,
,,,1995-03-02,,,,,,,
,,,1995-03-06,,,,,,,
,,,1995-03-07,,,,,,,
,,,1995-03-08,,,,,,,
,,,1995-03-09,,,,,,,
,,,1995-03-10,,,,,,,
,,,1995-03-13,,,,,,,
,,,1995-03-14,,,,,,,
,,,1995-03-15,,,,,,,
,,,1995-03-16,,,,,,,
,,,1995-03-17,,,,,,,
,,,1995-03-20,,,,,,,
,,,1995-03-21,,,,,,,
,,,1995-03-22,,,,,,,
,,,1995-03-23,,,,,,,
,,,1995-03-24,,,,,,,
,,,1995-03-27,,,,,,,
,,,1995-03-28,,,,,,,
,,,1995-03-29,,,,,,,
,,,1995-03-30,,,,,,,
,7875.0,7875.0,1995-03-31,7875.0,7875.0,7875.0,0.0,,,
,,,1995-04-03,,,,,,,
,,,1995-04-04,,,,,,,
,,,1995-04-05,,,,,,,
,,,1995-04-06,,,,,,,
,,,1995-04-07,,,,,,,
,,,1995-04-10,,,,,,,
,,,1995-04-11,,,,,,,
,,,1995-04-12,,,,,,,
,,,1995-04-13,,,,,,,
,,,1995-04-14,,,,,,,
,,,1995-04-17,,,,,,,
,,,1995-04-18,,,,,,,
,,,1995-04-19,,,,,,,
,,,1995-04-20,,,,,,,
,,,1995-04-21,,,,,,,
,,,1995-04-24,,,,,,,
,,,1995-04-25,,,,,,,
,,,1995-04-26,,,,,,,
,,,1995-04-27,,,,,,,
,9450.0,9450.0,1995-04-28,9450.0,9450.0,9450.0,0.0,,,
,,,1995-05-01,,,,,,,
,,,1995-05-02,,,,,,,
,,,1995-05-03,,,,,,,
,,,1995-05-04,,,,,,,
,,,1995-05-05,,,,,,,
,,,1995-05-08,,,,,,,
,,,1995-05-09,,,,,,,
,,,1995-05-10,,,,,,,
,,,1995-05-11,,,,,,,
,,,1995-05-12,,,,,,,
,,,1995-05-15,,,,,,,
,,,1995-05-16,,,,,,,
,,,1995-05-17,,,,,,,
,,,1995-05-18,,,,,,,
,,,1995-05-19,,,,,,,
,,,1995-05-22,,,,,,,
,,,1995-05-23,,,,,,,
,,,1995-05-24,,,,,,,
,,,1995-05-25,,,,,,,
,,,1995-05-26,,,,,,,
,,,1995-05-29,,,,,,,
,,,1995-05-30,,,,,,,
,7875.0,7875.0,1995-05-31,7875.0,7875.0,7875.0,0.0,,,
,,,1995-06-01,,,,,,,
,,,1995-06-02,,,,,,,
,,,1995-06-05,,,,,,,
,,,1995-06-06,,,,,,,
,,,1995-06-07,,,,,,,
,,,1995-06-08,,,,,,,
,,,1995-06-09,,,,,,,
,,,1995-06-12,,,,,,,
,,,1995-06-13,,,,,,,
,,,1995-06-14,,,,,,,
,,,1995-06-15,,,,,,,
,,,1995-06-16,,,,,,,
,,,1995-06-19,,,,,,,
,,,1995-06-20,,,,,,,
,,,1995-06-21,,,,,,,
,,,1995-06-22,,,,,,,
,,,1995-06-23,,,,,,,
,,,1995-06-26,,,,,,,
,,,1995-06-27,,,,,,,
,,,1995-06-28,,,,,,,
,,,1995-06-29,,,,,,,
,7200.0,7200.0,1995-06-30,7200.0,7200.0,7200.0,0.0,,,
,,,1995-07-03,,,,,,,
,,,1995-07-04,,,,,,,
,,,1995-07-05,,,,,,,
,,,1995-07-06,,,,,,,
